P285, 45-54, female, sophomore (2 years of college), California  
P380, 55-64, female, masters, Ohio  
P381, 45-54, female, masters, Georgia  
P382, 35-44, male, senior (4 years of college), North Carolina  
P383, 35-44, male, senior (4 years of college), Alabama  
P384, 16-24, female, senior (4 years of college), Colorado  
P385, 25-34, male, senior (4 years of college), Washington  
P386, 35-44, female, senior (4 years of college), Missouri  
P387, 45-54, male, senior (4 years of college), California  
P388, 35-44, male, senior (4 years of college), New York  
P389, 25-34, female, senior (4 years of college), New Jersey  
P390, 25-34, male, senior (4 years of college), Utah  
P391, 45-54, female, high school, California  
P392, 25-34, male, senior (4 years of college), Maryland  
P393, 25-34, male, senior (4 years of college), Missouri  
P394, 25-34, female, senior (4 years of college), Washington  
P395, 35-44, male, senior (4 years of college), Washington  
P396, 25-34, female, senior (4 years of college), Massachusetts  
P397, 35-44, male, senior (4 years of college), North Carolina  
P398, 25-34, male, senior (4 years of college), California  
P399, 45-54, female, high school, California  
P400, 55-64, female, senior (4 years of college), Florida  
P401, 25-34, female, senior (4 years of college), New York  
P402, 25-34, male, high school, Idaho  
P403, 35-44, male, senior (4 years of college), Maryland  
P404, 55-64, female, masters, Ohio  
P405, 55-64, male, high school, Wisconsin  
P406, 25-34, female, junior (3 years of college), Georgia  
P407, 25-34, male, senior (4 years of college), Texas  
P408, 55-64, female, senior (4 years of college), District of Columbia  
P409, 45-54, female, senior (4 years of college), Tennessee  
P410, 25-34, male, sophomore (2 years of college), Ohio  
P411, 35-44, male, senior (4 years of college), Colorado  
P412, 55-64, female, senior (4 years of college), California  
P413, 35-44, female, senior (4 years of college), Texas  
P414, 25-34, male, senior (4 years of college), Illinois  
P415, 75-84, female, sophomore (2 years of college), Missouri  
P416, 25-34, female, senior (4 years of college), Maryland  
P417, 16-24, female, senior (4 years of college), Colorado  
P418, 35-44, male, senior (4 years of college), New Mexico  
P419, 25-34, male, senior (4 years of college), Wisconsin  
P420, 45-54, male, senior (4 years of college), California  
P421, 35-44, male, senior (4 years of college), Texas  
P422, 25-34, male, senior (4 years of college), California  
P423, 25-34, male, masters, Tennessee  
P424, 45-54, female, senior (4 years of college), Illinois  
P425, 25-34, male, senior (4 years of college), Washington  
P426, 65-74, male, senior (4 years of college), California  
P427, 25-34, male, senior (4 years of college), Arizona  
P428, 45-54, male, senior (4 years of college), California  
P429, 45-54, female, senior (4 years of college), California  
P430, 45-54, male, high school, Texas  
P431, 25-34, female, masters, Florida  
P432, 65-74, female, masters, Texas  
P433, 35-44, male, freshman (1 year of college), Arkansas  
P434, 45-54, female, senior (4 years of college), California  
P435, 16-24, male, senior (4 years of college), Louisiana  
P436, 35-44, male, senior (4 years of college), North Carolina  
P437, 25-34, female, senior (4 years of college), California  
P438, 55-64, female, senior (4 years of college), Arkansas  
P439, 55-64, male, masters, California  
P440, 45-54, female, senior (4 years of college), New York  
P441, 65-74, male, senior (4 years of college), California  
P442, 25-34, male, senior (4 years of college), South Carolina  
P443, 25-34, male, masters, New Jersey  
P444, 45-54, male, senior (4 years of college), California  
P445, 55-64, male, high school, California  
P446, 25-34, male, senior (4 years of college), California  
P447, 35-44, female, senior (4 years of college), Iowa  
P448, 45-54, male, masters, California  
P449, 45-54, male, senior (4 years of college), Texas  
P450, 35-44, male, masters, Pennsylvania  
P451, 35-44, male, masters, New York  
P452, 25-34, male, senior (4 years of college), Arizona  
P453, 25-34, male, sophomore (2 years of college), North Carolina  
P454, 16-24, female, high school, Oregon  
P455, 25-34, male, senior (4 years of college), California  
P456, 35-44, female, masters, Colorado  
P457, 25-34, female, senior (4 years of college), Texas  
P458, 25-34, male, high school, Arizona  
P459, 25-34, male, senior (4 years of college), California  
P460, 25-34, male, masters, New York  
P461, 25-34, male, senior (4 years of college), Texas  
P462, 45-54, male, junior (3 years of college), Maine  
P463, 25-34, male, senior (4 years of college), Illinois  
P464, 35-44, male, masters, California  
P465, 25-34, male, senior (4 years of college), Florida  
P466, 25-34, male, senior (4 years of college), Virginia  
P467, 35-44, male, senior (4 years of college), Virginia  
P468, 35-44, female, senior (4 years of college), Colorado  
P469, 25-34, male, senior (4 years of college), Florida  
P470, 45-54, female, senior (4 years of college), California  
P471, 55-64, male, senior (4 years of college), California  
P472, 25-34, male, senior (4 years of college), Florida  
P473, 45-54, male, high school, Missouri  
P474, 25-34, male, senior (4 years of college), Ohio  
P475, 35-44, male, senior (4 years of college), Ohio  
P476, 45-54, female, junior (3 years of college), Tennessee  
P477, 35-44, female, senior (4 years of college), California  
P478, 45-54, female, senior (4 years of college), South Carolina  
P479, 25-34, male, sophomore (2 years of college), Ohio  
P480, 45-54, male, masters, Arkansas  
P481, 55-64, female, high school, New York  
P482, 25-34, male, senior (4 years of college), California  
P483, 25-34, male, senior (4 years of college), California  
P484, 35-44, male, senior (4 years of college), Washington  
P485, 55-64, female, masters, Colorado  
P486, 25-34, female, senior (4 years of college), Colorado  
P487, 25-34, male, masters, California  
P488, 25-34, male, senior (4 years of college), Washington  
P489, 35-44, male, junior (3 years of college), California  
P490, 25-34, female, senior (4 years of college), Kentucky  
P491, 25-34, male, sophomore (2 years of college), California  
P492, 55-64, female, junior (3 years of college), Ohio  
P493, 25-34, male, senior (4 years of college), California  
P494, 16-24, male, sophomore (2 years of college), Georgia  
P495, 25-34, male, high school, Connecticut  
P496, 35-44, female, masters, Tennessee  
P497, 25-34, male, freshman (1 year of college), Colorado  
P498, 35-44, male, masters, Texas  
P499, 25-34, male, senior (4 years of college), Texas  
P500, 25-34, male, senior (4 years of college), New York  
P501, 35-44, male, masters, Arizona  
P502, 25-34, male, sophomore (2 years of college), Texas  
P503, 55-64, male, senior (4 years of college), Pennsylvania  
P504, 25-34, male, high school, Georgia  
P505, 25-34, female, senior (4 years of college), Minnesota  
P506, 25-34, male, masters, New York  
P507, 25-34, male, senior (4 years of college), New York  
P508, 65-74, female, masters, Kentucky  
P509, 35-44, male, high school, Ohio  
P510, 25-34, male, sophomore (2 years of college), Colorado  
P511, 35-44, female, senior (4 years of college), Texas  
P512, 25-34, male, sophomore (2 years of college), Missouri  
P513, 45-54, male, senior (4 years of college), North Carolina  
P514, 25-34, male, masters, Virginia  
P515, 35-44, male, freshman (1 year of college), Maryland  
P516, 25-34, male, senior (4 years of college), New York  
P517, 55-64, female, masters, New York  
P518, 35-44, male, senior (4 years of college), Ohio  
P519, 25-34, male, high school, California  
P520, 25-34, male, masters, New York  
P521, 25-34, male, masters, Colorado  
P522, 45-54, male, senior (4 years of college), California  
P523, 16-24, male, senior (4 years of college), Texas  
P524, 25-34, male, senior (4 years of college), Tennessee  
P525, 45-54, male, masters, California  
P526, 25-34, male, masters, California  
P527, 35-44, female, masters, Texas  
P528, 35-44, female, senior (4 years of college), Michigan  
P529, 45-54, female, senior (4 years of college), District of Columbia  
P530, 55-64, male, senior (4 years of college), California  
P531, 25-34, female, senior (4 years of college), New York  
P532, 35-44, female, masters, Texas  
P533, 45-54, female, masters, Michigan  
P534, 25-34, male, freshman (1 year of college), Washington  
P535, 35-44, male, senior (4 years of college), California  
P536, 25-34, female, masters, California  
P537, 35-44, male, masters, Illinois  
P538, 25-34, female, senior (4 years of college), Washington  
P539, 45-54, male, senior (4 years of college), North Carolina  
P540, 45-54, female, freshman (1 year of college), Florida  
P541, 16-24, male, sophomore (2 years of college), New Hampshire  
P542, 45-54, male, masters, Georgia  
P543, 35-44, female, senior (4 years of college), Pennsylvania  
P544, 35-44, female, masters, Georgia  
P545, 35-44, male, masters, New Jersey  
P546, 25-34, male, senior (4 years of college), Texas  
P547, 35-44, female, masters, Hawaii  
P548, 35-44, male, senior (4 years of college), North Carolina  
P549, 55-64, male, senior (4 years of college), Indiana  
P550, 25-34, female, masters, Florida  
P551, 25-34, female, masters, California  
P552, 25-34, male, masters, Georgia  
P553, 25-34, male, high school, North Carolina  
