P01, 35-44, female, senior (4 years of college), Texas  
P193, 35-44, male, senior (4 years of college), Minnesota  
P194, 25-34, female, freshman (1 year of college), California  
P195, 35-44, female, senior (4 years of college), Alabama  
P196, 25-34, male, senior (4 years of college), Washington  
P197, 25-34, male, senior (4 years of college), Washington  
P198, 25-34, female, senior (4 years of college), Massachusetts  
P199, 55-64, male, freshman (1 year of college), California  
P200, 25-34, female, masters, Colorado  
P201, 16-24, female, sophomore (2 years of college), Florida  
P202, 25-34, male, senior (4 years of college), Ohio  
P203, 45-54, female, sophomore (2 years of college), Texas  
P204, 25-34, male, masters, Florida  
P205, 35-44, male, sophomore (2 years of college), Florida  
P206, 45-54, male, senior (4 years of college), California  
P207, 25-34, male, senior (4 years of college), California  
P208, 25-34, male, high school, Michigan  
P209, 25-34, male, masters, California  
P210, 35-44, female, senior (4 years of college), Texas  
P211, 25-34, female, senior (4 years of college), Missouri  
P212, 45-54, female, senior (4 years of college), Illinois  
P213, 55-64, male, junior (3 years of college), Washington  
P214, 45-54, female, senior (4 years of college), Texas  
P215, 35-44, male, senior (4 years of college), Colorado  
P216, 35-44, female, junior (3 years of college), Ohio  
P217, 25-34, male, sophomore (2 years of college), Florida  
P218, 25-34, female, other professional, Texas  
P219, 25-34, male, senior (4 years of college), Texas  
P220, 25-34, male, senior (4 years of college), Connecticut  
P221, 25-34, male, sophomore (2 years of college), California  
P222, 25-34, male, senior (4 years of college), District of Columbia  
P223, 35-44, male, masters, Missouri  
P224, 25-34, female, senior (4 years of college), New Jersey  
P225, 55-64, female, senior (4 years of college), Pennsylvania  
P226, 55-64, male, sophomore (2 years of college), Colorado  
P227, 25-34, male, senior (4 years of college), Texas  
P228, 35-44, male, junior (3 years of college), New York  
P229, 25-34, male, no high school education, Illinois  
P230, 45-54, male, prefer not to say, Ohio  
P231, 25-34, female, senior (4 years of college), Texas  
P232, 25-34, male, senior (4 years of college), Florida  
P233, 25-34, male, senior (4 years of college), Florida  
P234, 35-44, female, senior (4 years of college), Alabama  
P235, 25-34, female, masters, Louisiana  
P236, 25-34, female, junior (3 years of college), New York  
P237, 25-34, male, masters, Georgia  
P238, 25-34, male, senior (4 years of college), Alabama  
P239, 25-34, male, senior (4 years of college), Louisiana  
P240, 35-44, male, senior (4 years of college), California  
P241, 16-24, male, masters, California  
P242, 35-44, male, sophomore (2 years of college), New Hampshire  
P243, 35-44, male, senior (4 years of college), Texas  
P244, 45-54, male, senior (4 years of college), Ohio  
P245, 25-34, female, senior (4 years of college), Virginia  
P246, 25-34, female, senior (4 years of college), Virginia  
P247, 45-54, male, senior (4 years of college), California  
P248, 35-44, female, junior (3 years of college), Alabama  
P249, 25-34, female, senior (4 years of college), Florida  
P250, 45-54, female, masters, California  
P251, 25-34, male, senior (4 years of college), New York  
P252, 45-54, female, masters, Michigan  
P253, 25-34, male, sophomore (2 years of college), Pennsylvania  
P254, 35-44, female, senior (4 years of college), Florida  
P255, 35-44, male, senior (4 years of college), Wisconsin  
P256, 25-34, male, masters, Florida  
P257, 35-44, male, high school, Kentucky  
P258, 25-34, female, senior (4 years of college), Alabama  
P259, 16-24, male, senior (4 years of college), Georgia  
P260, 25-34, female, senior (4 years of college), New York  
P261, 25-34, female, masters, Maryland  
P262, 35-44, female, senior (4 years of college), New York  
P263, 45-54, male, senior (4 years of college), Pennsylvania  
P264, 45-54, female, senior (4 years of college), Tennessee  
P265, 16-24, male, senior (4 years of college), North Carolina  
P266, 35-44, female, high school, Texas  
P267, 45-54, male, high school, Maryland  
P268, 25-34, male, senior (4 years of college), Florida  
P269, 25-34, male, senior (4 years of college), Florida  
P270, 25-34, female, sophomore (2 years of college), New York  
P271, 25-34, female, other professional, Illinois  
P272, 25-34, female, high school, Mississippi  
P273, 35-44, male, masters, Washington  
P274, 35-44, male, senior (4 years of college), Florida  
P275, 35-44, female, masters, New Jersey  
P276, 16-24, female, sophomore (2 years of college), Texas  
P277, 45-54, female, freshman (1 year of college), South Carolina  
P278, 35-44, male, senior (4 years of college), North Carolina  
P279, 35-44, male, masters, Tennessee  
P280, 25-34, female, senior (4 years of college), Michigan  
P281, 25-34, male, sophomore (2 years of college), Georgia  
P282, 35-44, female, senior (4 years of college), Florida  
P283, 25-34, female, high school, Texas  
P284, 25-34, female, senior (4 years of college), South Carolina  
 
